"query","matched_name","ott_id","approx_match","flags","in_tree"
"aspergillus glaucus","Aspergillus glaucus",560551,FALSE,"",TRUE
"aspergillus heteromorphus","Aspergillus heteromorphus",805972,FALSE,"",TRUE
"aspergillus homomorphus","Aspergillus homomorphus",577682,FALSE,"",TRUE
"aspergillus ibericus","Aspergillus ibericus",564384,FALSE,"",TRUE
"aspergillus japonicus","Aspergillus japonicus",22935,FALSE,"",TRUE
"aspergillus lentulus","Aspergillus lentulus",487007,FALSE,"",TRUE
"aspergillus mulundensis","Aspergillus mulundensis",5695892,FALSE,"",TRUE
"aspergillus neoniger","Aspergillus neoniger",194032,FALSE,"",TRUE
"aspergillus nidulans","Aspergillus nidulans",117339,FALSE,"",TRUE
"aspergillus niger","Aspergillus niger",120377,FALSE,"",TRUE
"aspergillus nomiae","Aspergillus dromiae",8004222,TRUE,"",TRUE
"aspergillus novofumigatus","Aspergillus novofumigatus",151914,FALSE,"",TRUE
"aspergillus oryzae","Aspergillus flavus",188996,FALSE,"",TRUE
"aspergillus piperis","Aspergillus piperis",1037994,FALSE,"",TRUE
"aspergillus pseudonomius","Aspergillus pseudonomius",951807,FALSE,"",TRUE
"aspergillus pseudotamarii","Aspergillus pseudotamarii",315200,FALSE,"",TRUE
"aspergillus saccharolyticus","Aspergillus saccharolyticus",5310609,FALSE,"",TRUE
"aspergillus sclerotioniger","Aspergillus sclerotioniger",577681,FALSE,"",TRUE
"aspergillus steynii","Aspergillus steynii",581926,FALSE,"",TRUE
"aspergillus tanneri","Aspergillus tanneri",508390,FALSE,"",TRUE
"aspergillus terreus","Aspergillus terreus",104248,FALSE,"",TRUE
"aspergillus thermomutatus","Aspergillus fischeri",890958,FALSE,"",TRUE
"aspergillus uvarum","Aspergillus uvarum",1091699,FALSE,"",TRUE
"aspergillus vadensis","Aspergillus vadensis",190197,FALSE,"",TRUE
"aspergillus welwitschiae","Aspergillus niger",120377,FALSE,"",TRUE
"astatotilapia calliptera","Astatotilapia calliptera",710017,FALSE,"",TRUE
"asterias rubens","Asterias rubens",721252,FALSE,"",TRUE
"astyanax mexicanus","Astyanax mexicanus",701518,FALSE,"",TRUE
"athalia rosae","Athalia rosae",106278,FALSE,"",TRUE
