species	clade	dnds	te_total_copies	te_richness	n_recent_arrivals	arrival_fraction	genome_size_bp
Aedes_aegypti	Insecta	0.056206202651215	2543862.0	1868	64	0.0342612419700214	1278732104
Aedes_albopictus	Insecta	0.055052851456066	4183720.0	1685	77	0.0456973293768546	2538387871
Aethina_tumida	Insecta	0.044950026962582	122704.0	383	13	0.0339425587467362	234344249
Anoplophora_glabripennis	Insecta	0.040448242570784	977172.0	1800	187	0.1038888888888888	706968555
Apis_mellifera	Insecta	0.101129713623875	18918.0	62	4	0.064516129032258	225250884
Bactrocera_oleae	Insecta	0.042658900052891	542225.0	779	19	0.024390243902439	471780370
Bemisia_tabaci	Insecta	0.043135846028802	823294.0	581	22	0.0378657487091222	615017152
Bicyclus_anynana	Insecta	0.048431202460133	1263993.0	1045	64	0.0612440191387559	475399557
Bombus_bifarius	Insecta	0.095849373574104	104244.0	345	33	0.0956521739130434	266784621
Bombus_impatiens	Insecta	0.118046425702541	72140.0	248	5	0.0201612903225806	246856484
Bombus_terrestris	Insecta	0.115542966406799	59894.0	176	10	0.0568181818181818	248654244
Bombus_vancouverensis_nearcticus	Insecta	0.114447297665053	116913.0	368	52	0.1413043478260869	282133710
Bombyx_mori	Insecta	0.046404979590309	863819.0	759	172	0.2266139657444005	481819406
Chelonus_insularis	Insecta	0.047692453536819	35554.0	206	10	0.0485436893203883	135730493
Cimex_lectularius	Insecta	0.043450999548083	751644.0	852	17	0.0199530516431924	510848842
Contarinia_nasturtii	Insecta	0.045872817264145	42093.0	302	42	0.1390728476821192	185885008
Cryptotermes_secundus	Insecta	0.050312541961087	2081697.0	968	57	0.0588842975206611	1018932804
Ctenocephalides_felis	Insecta	0.053949061865078	1399485.0	1059	51	0.0481586402266288	775452550
Cyphomyrmex_costatus	Insecta	0.076743821293857	197484.0	742	61	0.082210242587601	300316566
Drosophila_albomicans	Insecta	0.03994630826054	66026.0	293	33	0.1126279863481228	165846275
Drosophila_ananassae	Insecta	0.038506350928132	166248.0	762	84	0.1102362204724409	217108776
Drosophila_biarmipes	Insecta	0.048102328168119	96209.0	555	34	0.0612612612612612	169378599
Drosophila_bipectinata	Insecta	0.037912734783475	89510.0	507	49	0.0966469428007889	167263958
